Feature_ID,Feature_Name,Clean_Feature_Name,Target,Diameter,Center_Latitude,Center_Longitude,Northern_Latitude,Southern_Latitude,Eastern_Longitude,Western_Longitude,Coordinate_System,Continent,Ethnicity,Feature_Type,Feature_Type_Code,Quad,Approval_Status,Approval_Date,Reference,Origin,Additional_Info,Last_Updated
14168,Cerberus Tholi,Cerberus Tholi,Mars,698,4.48,164.41,7.94,-0.64,169.63,158.46,Planetocentric  +East  0 - 360,Europe,Greek,"Tholus, tholi",TH,mc15,Approved,2006,71,Classical albedo feature name.,,10/1/2006
1112,Cerulli,Cerulli,Mars,114.28,32.2,22.12,33.17,31.24,23.26,20.98,Planetocentric  +East  0 - 360,Europe,Italy,"Crater, craters",AA,mc05,Approved,1973,68,Vicenzo; Italian astronomer (1859-1927).,,11/17/2010
1114,Ceti Chasma,Ceti Chasma,Mars,49.77,-5.03,291.63,-4.88,-5.22,292.03,291.23,Planetocentric  +East  0 - 360,Europe,Greek,"Chasma, chasmata",CM,mc18,Approved,1985,57,"From albedo feature at 10S, 74W.",,10/1/2006
15035,Ceti Labes,Ceti Labes,Mars,11.05,-6.78,284.27,-6.7,-6.86,284.34,284.15,Planetocentric  +East  0 - 360,Europe,Latin,"Labes, labēs",LA,mc18,Approved,18-Sep-12,71,Classical albedo feature name.,,9/18/2012
1115,Ceti Mensa,Ceti Mensa,Mars,133.95,-5.89,283.98,-4.96,-6.72,285.09,282.81,Planetocentric  +East  0 - 360,Europe,Latin,"Mensa, mensae",MN,mc18,Approved,1994,71,Albedo feature Ceti Lacus.,"Boundary expanded April 22, 2014.",4/22/2014
1119,Chafe,Chafe,Mars,4.67,15.1,102.41,15.14,15.06,102.45,102.37,Planetocentric  +East  0 - 360,Africa,Nigeria,"Crater, craters",AA,mc14,Approved,1988,36,Town in Nigeria.,,11/17/2010
1122,Chalce,Chalce,Mars,0,-49.67,360,-49.67,-49.67,360,360,Planetocentric  +East  0 - 360,Europe,Greek,Albedo Feature,AL,mc26,Approved,1958,60,"Old name of island of Khalki, west of Rhodes.",,10/1/2006
1123,Chalce Fossa,Chalce Fossa,Mars,33.97,-51.67,320.41,-51.57,-51.68,320.82,319.96,Planetocentric  +East  0 - 360,Europe,Greek,"Fossa, fossae",FO,mc26,Approved,1991,57,Albedo name.,,10/1/2006
1124,Chalce Montes,Chalce Montes,Mars,100,-53.72,322.35,-53,-54.12,323.51,321.42,Planetocentric  +East  0 - 360,Europe,Greek,"Mons, montes",MO,mc26,Approved,1991,57,Albedo name.,,10/1/2006
1125,Chalcoporos Rupēs,Chalcoporos Rupes,Mars,404.98,-55.64,20.57,-52.21,-59.05,24.51,16.56,Planetocentric  +East  0 - 360,Europe,Greek,"Rupes, rupēs",RU,mc27,Approved,1985,57,"From albedo feature at 50S, 6W.",,11/17/2008
14265,Chaman,Chaman,Mars,47.92,-60.86,50.96,-60.46,-61.27,51.79,50.13,Planetocentric  +East  0 - 360,Asia,Pakistan,"Crater, craters",AA,mc27,Approved,14-Dec-06,74,Town in Pakistan.,,5/23/2013
1130,Chamberlin,Chamberlin,Mars,120.25,-65.84,235.71,-64.83,-66.86,238.2,233.24,Planetocentric  +East  0 - 360,North America,American,"Crater, craters",AA,mc30,Approved,1973,68,Thomas C.; American geologist (1843-1928).,,11/17/2010
1137,Changsŏng,Changsong,Mars,33.54,23.47,302.66,23.76,23.19,302.97,302.35,Planetocentric  +East  0 - 360,Asia,Democratic People's Republic of Korea,"Crater, craters",AA,mc10,Approved,1976,36,Town in the Democratic People's Republic of Korea.,,2/10/2012
1141,Chapais,Chapais,Mars,36.67,-22.35,339.45,-22.04,-22.66,339.79,339.12,Planetocentric  +East  0 - 360,North America,Canada,"Crater, craters",AA,mc19,Approved,1976,36,"Town in Quebec, Canada.",,11/17/2010
1148,Charis Dorsum,Charis Dorsum,Mars,251,-55.86,318.53,-54.5,-56.26,321.25,315.03,Planetocentric  +East  0 - 360,Europe,Greek,"Dorsum, dorsa",DO,mc26,Approved,1991,1,One of the Graces.,,10/1/2006
1149,Charitum Montes,Charitum Montes,Mars,933.54,-58.1,319.71,-52.9,-60.55,332.63,305.94,Planetocentric  +East  0 - 360,Europe,Greek,"Mons, montes",MO,mc26,Approved,1973,57,Classical albedo feature name.,,10/1/2006
1152,Charleston,Charleston,Mars,1.96,22.63,312.2,22.64,22.61,312.22,312.19,Planetocentric  +East  0 - 360,North America,United States,"Crater, craters",AA,mc10,Approved,1979,36,American colonial town (South Carolina).,,11/17/2010
1154,Charlier,Charlier,Mars,106.28,-68.56,191.53,-67.67,-69.46,193.99,189.09,Planetocentric  +East  0 - 360,Europe,Sweden,"Crater, craters",AA,mc30,Approved,1973,68,Carl V.; Swedish astronomer (1862-1934).,,11/17/2010
1155,Charlieu,Charlieu,Mars,18.63,38.15,276.01,38.31,38,276.21,275.81,Planetocentric  +East  0 - 360,Europe,France,"Crater, craters",AA,mc03,Approved,1991,36,Town in France.,,11/17/2010
1157,Charybdis Scopulus,Charybdis Scopulus,Mars,551.26,-24.14,20.08,-19.91,-28.33,21.55,18.53,Planetocentric  +East  0 - 360,Europe,Greek,"Scopulus, scopuli",SC,mc20,Approved,1985,57,"From albedo feature at 19S, 320W.",,10/1/2006
1160,Chasma Australe,Chasma Australe,Mars,352.61,-82.35,95.03,-80.04,-85.86,102.53,79.04,Planetocentric  +East  0 - 360,Europe,Latin,"Chasma, chasmata",CM,mc30,Approved,1973,57,Classical albedo feature name.,,10/1/2006
1161,Chasma Boreale,Chasma Boreale,Mars,459.88,82.54,312.36,85.07,79.3,343.8,300.62,Planetocentric  +East  0 - 360,Europe,Latin,"Chasma, chasmata",CM,mc01,Approved,1973,57,Classical albedo feature name.,,10/1/2006
1162,Chatturat,Chatturat,Mars,7.84,35.38,265.06,35.44,35.32,265.12,264.99,Planetocentric  +East  0 - 360,Asia,Thailand,"Crater, craters",AA,mc03,Approved,1991,36,Town in Thailand.,,11/17/2010
1164,Chauk,Chauk,Mars,9.97,23.35,304.09,23.44,23.27,304.18,304,Planetocentric  +East  0 - 360,Asia,Burma,"Crater, craters",AA,mc10,Approved,1976,36,Town in Burma.,,11/17/2010
1166,Cheb,Cheb,Mars,8.28,-24.2,340.56,-24.13,-24.27,340.63,340.48,Planetocentric  +East  0 - 360,Europe,Czechoslovakia,"Crater, craters",AA,mc19,Approved,1976,36,Town in Czechoslovakia.,,11/17/2010
1169,Chefu,Chefu,Mars,11.27,-22.91,112.24,-22.82,-23.01,112.35,112.14,Planetocentric  +East  0 - 360,Africa,Mozambique,"Crater, craters",AA,mc22,Approved,1991,74,Town in Mozambique.,,11/17/2010
1170,Chekalin,Chekalin,Mars,87.78,-24.28,333.19,-23.53,-25.02,334,332.38,Planetocentric  +East  0 - 360,Europe,Russia,"Crater, craters",AA,mc19,Approved,1976,36,Town in Russia.,,7/19/2013
1175,Chersonesus,Chersonesus,Mars,0,-49.67,100,-49.67,-49.67,100,100,Planetocentric  +East  0 - 360,Europe,Greek,Albedo Feature,AL,mc28,Approved,1958,60,Gallipoli Peninsula.,,10/1/2006
1177,Chia,Chia,Mars,91.91,1.57,300.35,2.35,0.8,301.13,299.58,Planetocentric  +East  0 - 360,Europe,Spain,"Crater, craters",AA,mc10,Approved,1985,36,Town in Spain.,,11/17/2010
1179,Chico Valles,Chico Valles,Mars,446.35,-66.77,207.77,-65.02,-70.45,218.01,201.31,Planetocentric  +East  0 - 360,South and Central America,Argentina,"Vallis, valles",VA,mc30,Approved,2003,36,River in Argentina.,,10/1/2006
1181,Chimbote,Chimbote,Mars,62.86,-1.42,320.32,-0.89,-1.95,320.85,319.79,Planetocentric  +East  0 - 360,South and Central America,Peru,"Crater, craters",AA,mc19,Approved,1976,36,Town in Peru.,,11/17/2010
1183,Chincoteague,Chincoteague,Mars,34.03,41.2,124.12,41.49,40.92,124.5,123.74,Planetocentric  +East  0 - 360,North America,United States,"Crater, craters",AA,mc07,Approved,1979,36,"Town in Virginia, USA.",,11/17/2010
1185,Chinju,Chinju,Mars,65.71,-4.52,317.86,-3.96,-5.07,318.41,317.3,Planetocentric  +East  0 - 360,Asia,Republic of Korea,"Crater, craters",AA,mc19,Approved,1976,36,Town in the Republic of Korea.,,2/10/2012
1186,Chinook,Chinook,Mars,18.1,22.5,304.54,22.66,22.35,304.7,304.37,Planetocentric  +East  0 - 360,North America,Canada,"Crater, craters",AA,mc10,Approved,1976,36,"Town in Alberta, Canada.",,11/17/2010
1188,Chive,Chive,Mars,9.1,21.68,303.99,21.76,21.61,304.07,303.91,Planetocentric  +East  0 - 360,South and Central America,Bolivia,"Crater, craters",AA,mc10,Approved,1976,36,Town in Bolivia.,,11/17/2010
1193,Choctaw,Choctaw,Mars,23.96,-41.19,322.76,-40.98,-41.39,323.03,322.5,Planetocentric  +East  0 - 360,North America,United States,"Crater, craters",AA,mc26,Approved,1976,36,"Town in Ohio, USA.",,11/17/2010
1195,Chom,Chom,Mars,5.58,38.57,357.48,38.62,38.53,357.55,357.42,Planetocentric  +East  0 - 360,Asia,Tibet,"Crater, craters",AA,mc04,Approved,1976,36,Town in China (Tibet).,,11/17/2010
15309,Choyr,Choyr,Mars,36.42,-32.43,18.72,-32.12,-32.74,19.06,18.38,Planetocentric  +East  0 - 360,Asia,Mongolia,"Crater, craters",AA,mc27,Approved,21-Mar-15,36,Town in Mongolia.,,3/21/2015
14180,Chronius Mons,Chronius Mons,Mars,56.14,-61.49,178.01,-61.02,-61.96,178.74,177.21,Planetocentric  +East  0 - 360,Europe,Greek,"Mons, montes",MO,mc29,Approved,13-Sep-06,57,Classical albedo feature name.,,7/24/2008
15538,Chrysas Mensa,Chrysas Mensa,Mars,167,-6.77,289.9,-6.32,-7.27,291.12,288.33,Planetocentric  +East  0 - 360,Europe,Greek,"Mensa, mensae",MN,mc18,Approved,2-Feb-17,57,"Classical albedo feature name, Chrysas.",,2/2/2017
1202,Chryse,Chryse,Mars,0,9.88,330,9.88,9.88,330,330,Planetocentric  +East  0 - 360,Europe,Greek,Albedo Feature,AL,mc11,Approved,1958,60,Island rich in gold; region of Thailand/Malacca.,,10/1/2006
14386,Chryse Chaos,Chryse Chaos,Mars,658.89,9.86,322.81,15.74,4.82,328.25,318.3,Planetocentric  +East  0 - 360,Europe,Greek,"Chaos, chaoses",CH,mc11,Approved,31-Mar-08,57,Classical albedo feature name. ,,3/31/2008
14152,Chryse Colles,Chryse Colles,Mars,48.66,8.15,318.14,8.28,7.57,318.55,317.73,Planetocentric  +East  0 - 360,Europe,Greek,"Collis, colles",CO,mc11,Approved,2006,57,Classical albedo feature name.,,10/1/2006
1203,Chryse Planitia,Chryse Planitia,Mars,1542.44,28.43,319.69,39.61,14.85,333.93,305.23,Planetocentric  +East  0 - 360,Europe,Greek,"Planitia, planitiae",PL,mc11,Approved,1973,57,Classical albedo feature name.,,10/1/2006
1204,Chrysokeras,Chrysokeras,Mars,0,-49.67,250,-49.67,-49.67,250,250,Planetocentric  +East  0 - 360,Europe,Greek,Albedo Feature,AL,mc25,Approved,1958,60,"""Golden Horn""; Byzantine Peninsula (now Turkey), or its inlet.",,10/1/2006
14187,Chupadero,Chupadero,Mars,8.04,6.13,83.43,6.2,6.07,83.5,83.37,Planetocentric  +East  0 - 360,North America,United States,"Crater, craters",AA,mc13,Approved,14-Sep-06,36,"Village in New Mexico, USA.",,11/17/2010
1212,Chur,Chur,Mars,4.39,16.93,330.69,16.97,16.9,330.73,330.66,Planetocentric  +East  0 - 360,Europe,Russia,"Crater, craters",AA,mc11,Approved,1976,36,Town in Russia.,,11/17/2010
15498,Cilaos,Cilaos,Mars,21.4,-35.71,129.48,-35.52,-35.88,129.67,129.23,Planetocentric  +East  0 - 360,Africa,Reunion Island,"Crater, craters",AA,mc29,Approved,15-Aug-16,36,Town on Réunion Island.,,8/16/2016
