Feature_ID,Feature_Name,Clean_Feature_Name,Target,Diameter,Center_Latitude,Center_Longitude,Northern_Latitude,Southern_Latitude,Eastern_Longitude,Western_Longitude,Coordinate_System,Continent,Ethnicity,Feature_Type,Feature_Type_Code,Quad,Approval_Status,Approval_Date,Reference,Origin,Additional_Info,Last_Updated
407,Arubani Fluctus,Arubani Fluctus,Venus,620,-55,132,-55,-55,132,132,Planetocentric  +East  0 - 360,Asia,Urartu,"Fluctus, fluctūs",FL,v58,Approved,1997,107,Urartu supreme goddess.,,10/1/2006
409,Aruru Corona,Aruru Corona,Venus,450,9,262,9,9,262,262,Planetocentric  +East  0 - 360,Asia,Sumerian,"Corona, coronae",CR,v28,Approved,1994,83,Sumerian earth goddess.,,10/1/2006
423,Asherat Colles,Asherat Colles,Venus,500,12,162,13.5,10,165.5,159,Planetocentric  +East  0 - 360,Asia,Phoenician,"Collis, colles",CO,v25,Approved,2003,1,"Phoenician goddess known as ""Asherat-of-the-Sea.""",,10/1/2006
424,Ashnan Corona,Ashnan Corona,Venus,300,50.2,357,50.2,50.2,357,357,Planetocentric  +East  0 - 360,Asia,Sumerian,"Corona, coronae",CR,v07,Approved,1994,83,Sumerian harvest goddess.,,10/1/2006
425,Ashtart Tholus,Ashtart Tholus,Venus,138,48.7,247,49.3,48,247.2,246.7,Planetocentric  +East  0 - 360,Asia,Phoenician,"Tholus, tholi",TH,v16,Approved,1985,1,"Phoenician goddess of love, fertility and war; personification of planet Venus.",,10/1/2006
427,Asiaq Dorsa,Asiaq Dorsa,Venus,400,-53,55,-51,-55,58,52,Planetocentric  +East  0 - 360,North America,Eskimo,"Dorsum, dorsa",DO,v56,Approved,1997,107,Eskimo weather goddess.,,10/1/2006
428,Asintmah Corona,Asintmah Corona,Venus,150,25.9,208,26.6,25.2,208.6,207.4,Planetocentric  +East  0 - 360,North America,Canada,"Corona, coronae",CR,v14,Approved,2006,127,Athabaskan (W. Canada Subarctic) Earth and nature goddess; the first woman on Earth.,,10/1/2006
430,Asmik,Asmik,Venus,19.5,3.9,166.4,3.9,3.9,166.4,166.4,Planetocentric  +East  0 - 360,Asia,Armenian,"Crater, craters",AA,v25,Approved,1994,108,Armenian first name.,,3/26/2014
431,Asomama Corona,Asomama Corona,Venus,180,23.3,21.6,23.3,23.3,21.6,21.6,Planetocentric  +East  0 - 360,South and Central America,Peru,"Corona, coronae",CR,v20,Approved,2000,65,Quechua potato goddess.,,10/1/2006
433,Aspasia Corona,Aspasia Corona,Venus,200,56.1,189.1,56.1,56.1,189.1,189.1,Planetocentric  +East  0 - 360,Europe,Greek,"Corona, coronae",CR,v05,Approved,1997,99,One of most outstanding women of ancient Greece (c. 470-429 B.C.).,Name changed from Aspasia Patera.,7/10/2014
437,Asteria Regio,Asteria Regio,Venus,1131,21.6,267.5,26.1,17.1,271.5,263.5,Planetocentric  +East  0 - 360,Europe,Greek,"Regio, regiones",RE,v28,Approved,1982,1,Greek Titaness.,,10/1/2006
439,Astkhik Planum,Astkhik Planum,Venus,2000,-45,20,-45,-45,20,20,Planetocentric  +East  0 - 360,Asia,Armenian,"Planum, plana",PM,v44,Approved,1997,107,Armenian goddess of love.,,12/30/2008
441,Astrid,Astrid,Venus,10.5,-21.4,335.2,-21.4,-21.4,335.2,335.2,Planetocentric  +East  0 - 360,Europe,Scandinavian,"Crater, craters",AA,v43,Approved,1991,109,Scandinavian first name.,,10/1/2006
444,Atahensik Corona,Atahensik Corona,Venus,700,-19,170,-19,-19,170,170,Planetocentric  +East  0 - 360,North America,Iroquois,"Corona, coronae",CR,v37,Approved,1997,107,"Huron/Iroquois goddess, creator of the sun and moon.",,10/1/2006
445,Atai Mons,Atai Mons,Venus,250,-22,291,-22,-22,291,291,Planetocentric  +East  0 - 360,Africa,Ghana,"Mons, montes",MO,v41,Approved,1997,107,Efik (Ghana) wife of sky god Abassi.,,10/1/2006
