Feature_ID,Feature_Name,Clean_Feature_Name,Target,Diameter,Center_Latitude,Center_Longitude,Northern_Latitude,Southern_Latitude,Eastern_Longitude,Western_Longitude,Coordinate_System,Continent,Ethnicity,Feature_Type,Feature_Type_Code,Quad,Approval_Status,Approval_Date,Reference,Origin,Additional_Info,Last_Updated
4930,Rajnis,Rajnis,Mercury,80,4.36,263.79,5.29,3.42,264.72,262.85,Planetocentric  +East  0 - 360,Europe,Latvia,"Crater, craters",AA,H-07,Approved,1976,59,Ya; Latvian poet (1865-1925).,,10/12/2016
4936,Rameau,Rameau,Mercury,58,-54.58,322.76,-53.9,-55.26,323.94,321.59,Planetocentric  +East  0 - 360,Europe,France,"Crater, craters",AA,H-11,Approved,1976,59,Jean Philippe; French composer (1683-1764).,,10/12/2016
4949,Raphael,Raphael,Mercury,342,-20.42,283.65,-16.5,-24.31,287.92,279.37,Planetocentric  +East  0 - 360,Europe,Italy,"Crater, craters",AA,H-07,Approved,1976,59,Raffaello Sanzio; Italian painter (1483-1520).,,10/12/2016
4958,Ravel,Ravel,Mercury,78,-12.01,321.81,-11.11,-12.91,322.74,320.89,Planetocentric  +East  0 - 360,Europe,France,"Crater, craters",AA,H-06,Approved,1985,59,Maurice; French composer (1875-1937).,,10/12/2016
15193,Remarque,Remarque,Mercury,25.9,84.94,353.54,85.24,84.64,357,350.1,Planetocentric  +East  0 - 360,Europe,Germany,"Crater, craters",AA,H-01,Approved,16-Dec-13,75,Erich Maria; German author (1898-1970).,,12/16/2013
14563,Rembrandt,Rembrandt,Mercury,716,-32.89,87.87,-24.58,-41.19,98.28,77.27,Planetocentric  +East  0 - 360,Europe,Netherlands (Dutch),"Crater, craters",AA,H-14,Approved,27-Feb-09,75,Rembrandt Harmenszoon van Rijn; Dutch painter (1606-1669).,,10/13/2016
4995,Renoir,Renoir,Mercury,220,-18.34,307.99,-15.77,-20.9,310.71,305.26,Planetocentric  +East  0 - 360,Europe,France,"Crater, craters",AA,H-06,Approved,1976,59,Pierre Auguste; French painter (1841-1919).,,10/13/2016
4998,Repin,Repin,Mercury,95,-19.12,296.67,-18.01,-20.24,297.84,295.49,Planetocentric  +East  0 - 360,Europe,Russia,"Crater, craters",AA,H-06,Approved,1976,59,Ilya Yefimovich; Russian painter (1844-1930).,,10/13/2016
5003,Resolution Rupes,Resolution Rupes,Mercury,139,-63.25,309.34,-62.11,-64.15,311.38,306.28,Planetocentric  +East  0 - 360,Europe,England,"Rupes, rupēs",RU,H-11,Approved,1976,59,"English; one of Cook's ships, second expedition to Pacific, 1772-75.",,10/13/2016
5031,Riemenschneider,Riemenschneider,Mercury,183,-52.75,260.05,-50.99,-54.5,263.04,257.06,Planetocentric  +East  0 - 360,Europe,Germany,"Crater, craters",AA,H-12,Approved,1979,59,Tilman; German sculptor (c. 1460-1531).,,10/13/2016
